"slug","name.en","name.he","roles.he","sex.en","sex.he","is_current","party","img_url"
"Hotovely_Tzipi","Hotovely Tzipi","ציפי חוטובלי","יו""ר ועדה לקידום מעמד האישה","Female","נקבה",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/Hotovely_Tzipi-s.jpg"
"livnee_zipi","Livnee Zipi","ציפי לבני","חברת כנסת באופוזיציה","Female","נקבה",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/livnee_zipi-s.jpg"
"rivlin_rubi","Rivlin Rubi","ראובן ריבלין","יו""ר הכנסת, יו""ר ועדת הפירושים","Male","זכר",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/rivlin_rubi-s.jpg"
"majadele_ralev","Majadele Ralev","ראלב מג`אדלה","חבר כנסת באופוזיציה","Male","זכר",TRUE,"haavoda","http://www.knesset.gov.il/mk/images/members/majadele_ralev-s.jpg"
"ilatov_robert","Ilatov Robert","רוברט אילטוב","חבר כנסת בקואליציה","Male","זכר",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/ilatov_robert-s.jpg"
"Tiviaev_Robert","Tiviaev Robert","רוברט טיבייב","חבר כנסת באופוזיציה","Male","זכר",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/Tiviaev_Robert-s.jpg"
"avraham_ruhama","Avraham Ruhama","רוחמה אברהם בלילא","חברת כנסת באופוזיציה","Female","נקבה",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/avraham_ruhama-s.jpg"
"baron_roni","Baron Roni","רוני בר-און","חבר כנסת באופוזיציה","Male","זכר",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/baron_roni-s.jpg"
"tirosh_ronit","Tirosh Ronit","רונית תירוש","חברת כנסת באופוזיציה","Female","נקבה",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/tirosh_ronit-s.jpg"
"Adatto_Rachel","Adatto Rachel","רחל אדטו","חברת כנסת באופוזיציה","Female","נקבה",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/Adatto_Rachel-s.jpg"
"mofaz_shaul","Mofaz Shaul","שאול מופז","יו""ר ועדת החוץ והביטחון","Male","זכר",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/mofaz_shaul-s.jpg"
"hermesh_shai","Hermesh Shai","שי חרמש","חבר כנסת באופוזיציה","Male","זכר",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/hermesh_shai-s.jpg"
"simhon_shalom","Simhon Shalom","שלום שמחון","שר התעשייה, המסחר והתעסוקה","Male","זכר",TRUE,"haatzmaut","http://www.knesset.gov.il/mk/images/members/simhon_shalom-s.jpg"
"yacimovich_shelly","Yacimovich Shelly","שלי יחימוביץ","יו""ר ועדת האתיקה","Female","נקבה",TRUE,"haavoda","http://www.knesset.gov.il/mk/images/members/yacimovich_shelly-s.jpg"
"molla_shlomo","Molla Shlomo","שלמה (נגוסה) מולה","חבר כנסת באופוזיציה","Male","זכר",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/molla_shlomo-s.jpg"
