"slug","name.en","name.he","roles.he","sex.en","sex.he","is_current","party","img_url"
"zeev_nissim","Zeev Nissim","???? ???","??? ???? ?????????","Male","???",TRUE,"shas","http://www.knesset.gov.il/mk/images/members/zeev_nissim-s.jpg"
"landver_sofa","Landver Sofa","???? ?????","??? ?????? ?????","Female","????",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/landver_sofa-s.jpg"
"miznikov_stas","Miznikov Stas","??? ????`?????","?? ???????","Male","???",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/miznikov_stas-s.jpg"
"shalom_silvan","Shalom Silvan","????? ????","???? ???? ??????, ?? ?????? ????? ??????, ?? ?????? ???? ??????","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/shalom_silvan-s.jpg"
"naffa_said","Naffa Said","???? ????","??? ???? ??????????","Male","???",TRUE,"balad","http://www.knesset.gov.il/mk/images/members/naffa_said-s.jpg"
"landau_uzi","Landau Uzi","???? ?????","?? ??????? ????????","Male","???",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/landau_uzi-s.jpg"
"Einat_Wilf","Einat Wilf","???? ????","???? ???? ?????????","Female","????",TRUE,"haatzmaut","http://www.knesset.gov.il/mk/images/members/Einat_Wilf-s.jpg"
"peretz_amir","Peretz Amir","???? ???","??? ???? ??????????","Male","???",TRUE,"haavoda","http://www.knesset.gov.il/mk/images/members/peretz_amir-s.jpg"
"Agbaria_Afou","Agbaria Afou","??? ???????","??? ???? ??????????","Male","???",TRUE,"hadash","http://www.knesset.gov.il/mk/images/members/Agbaria_Afou-s.jpg"
"schneller_otniel","Schneller Otniel","?????? ????","??? ???? ??????????","Male","???",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/schneller_otniel-s.jpg"
"Kirshenbaum_Faina","Kirshenbaum Faina","????? (????) ?????????","???? ???? ?????????","Female","????",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/Kirshenbaum_Faina-s.jpg"
"hanegbi_tzahi","Hanegbi Tzahi","??? ?????","??? ???? ?????","Male","???",FALSE,"kadima","http://www.knesset.gov.il/mk/images/members/hanegbi_tzahi-s.jpg"
"Pinyan_Zion","Pinyan Zion","???? ??????","??? ???? ?????????","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/Pinyan_Zion-s.jpg"
"Hotovely_Tzipi","Hotovely Tzipi","???? ???????","??""? ???? ?????? ???? ?????","Female","????",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/Hotovely_Tzipi-s.jpg"
"livnee_zipi","Livnee Zipi","???? ????","???? ???? ??????????","Female","????",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/livnee_zipi-s.jpg"
"rivlin_rubi","Rivlin Rubi","????? ??????","??""? ?????, ??""? ???? ????????","Male","???",TRUE,"halikud","http://www.knesset.gov.il/mk/images/members/rivlin_rubi-s.jpg"
"majadele_ralev","Majadele Ralev","???? ??`????","??? ???? ??????????","Male","???",TRUE,"haavoda","http://www.knesset.gov.il/mk/images/members/majadele_ralev-s.jpg"
"ilatov_robert","Ilatov Robert","????? ??????","??? ???? ?????????","Male","???",TRUE,"israel_beytenu","http://www.knesset.gov.il/mk/images/members/ilatov_robert-s.jpg"
"Tiviaev_Robert","Tiviaev Robert","????? ??????","??? ???? ??????????","Male","???",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/Tiviaev_Robert-s.jpg"
"avraham_ruhama","Avraham Ruhama","????? ????? ?????","???? ???? ??????????","Female","????",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/avraham_ruhama-s.jpg"
"baron_roni","Baron Roni","???? ??-???","??? ???? ??????????","Male","???",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/baron_roni-s.jpg"
"tirosh_ronit","Tirosh Ronit","????? ?????","???? ???? ??????????","Female","????",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/tirosh_ronit-s.jpg"
"Adatto_Rachel","Adatto Rachel","??? ????","???? ???? ??????????","Female","????",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/Adatto_Rachel-s.jpg"
"mofaz_shaul","Mofaz Shaul","???? ????","??""? ???? ???? ????????","Male","???",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/mofaz_shaul-s.jpg"
"hermesh_shai","Hermesh Shai","?? ????","??? ???? ??????????","Male","???",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/hermesh_shai-s.jpg"
"simhon_shalom","Simhon Shalom","???? ?????","?? ???????, ????? ????????","Male","???",TRUE,"haatzmaut","http://www.knesset.gov.il/mk/images/members/simhon_shalom-s.jpg"
"yacimovich_shelly","Yacimovich Shelly","??? ????????","??""? ???? ??????","Female","????",TRUE,"haavoda","http://www.knesset.gov.il/mk/images/members/yacimovich_shelly-s.jpg"
"molla_shlomo","Molla Shlomo","???? (?????) ????","??? ???? ??????????","Male","???",TRUE,"kadima","http://www.knesset.gov.il/mk/images/members/molla_shlomo-s.jpg"
